comments,topic,type,sentiment
The one is very excellent I have used many Bluetooth speakers JBL charge JBL flip Transit by Soans Harman Kardon etc pure balanced sound is what you get The problems I faced are The Bose Connect app is very poor The Bose Revolve ii does not support VOIP calls WhatsApp Zoom says Bose india Bose India customer service s response was inadequate The technical team apparently lack product knowledge ,"balanced sound,poor bose,technical team",appreciation,POSITIVE
I have been using it from months extensivelyIts a portable speaker so expect it to be like one My priority was great sound quality high portability this I m glad this is not chunky at all The sound quality is great gets too loud for indoor but for outdoor it s perfect for all the trips or camping Connectivity is fine but not impressive you will feel some lack of tech somewhere but it doesn t disappoints as well I would say it has what s required Battery backup is highly impressive but at full volume it isn t Although i hardly played it on full Goes full week on charge if you are listening it for hour daily Music quality is soothing I don t get tired of listening even for hours degree sound also plays its part well Look Brand value is top notch One of my fav feature is tripod mount it got Worth the money if you are getting it on discount as I did even discounted package was received in perfect condition If you are paying full price as on MRP then its an individual perception weather its worth or not ,"portable speaker,sound quality,high portability,sound quality,perfect trip,full volume,full week,daily music,worth money,perfect condition,full price,individual perception",information,POSITIVE
Review after a day of full usagea Bose seems to have missed the sweet spot of balanced sound II generation is heavy on Bass liked by most of the folks While it s equaliser from the source device can be adjusted to suit the need However for movies specifically for speech part sounds punchyb Still the best sounding speaker loud clear even at volume tested almost all genres including old songs Sounds superb everytimeC I ve connected Alexa Google home to play music via BT to play music wirelessly The phone gets free saves the batteryD Dual BT connectivity is great however you d expect BT version for speaker you buy in E It s a pity that they don t have adopted USB C charging yetF The Bose connect app is pretty basic doesn t have equilizer built in If played from TV or other sources it doesn t detect as music playing tends to auto switch off at timesOverall Verdict It s the Apple iPhone of speakers it isn t feature heavy but does the basic job superbly well consistently,"full usagea,sweet spot,ii generation,heavy bass,equaliser source,sound punchyb,old song,bt connectivity,bt version,basic equilizer,timesoverall verdict,basic job",information,NEGATIVE
So the clarity is crisp you can hear the sound as if someone is singing next to you recently when i played a movie there was a scene where a girl was screaming my mother ran from kitchen just to see if anything had happened to my sister thats the sound quality it has ,sound quality,information,POSITIVE
Costly but the best blutooth speaker You will fall in at first listen ,best blutooth,appreciation,POSITIVE
I won t write much about the product because the ones who will go for BOSE already know what it s about It s worth it It is relative and debatable but to me it s worth But the shipment was awful Like most AMAZON deliveries it doesn t fail to disappoint To the buyers a product like this is a luxury not to be thrown around but to be cherished But you can see the condition the box came in There were no outer box Only the BOSE box with a thin plastic wrap damaged around the edges and on the corners mostly attributed to rough handling and absence of a outer cardboard package Very poor experience Photos attached for reference and heartiest thanks to amazon for ruining the beautiful box ,"much product,worth shipment,outer box,thin plastic,rough handling,outer cardboard,poor experience,beautiful box",information,NEGATIVE
Good product Delivery was perfect The box came in original factory plastic wrapping brand new May manufactory and Aug import date Oct i bought Price on box which i got for real good deal ,"good product,perfect box,original factory,good deal",information,POSITIVE
I just received this little beauty I just connected vividh bharti FM from my Samsung s plus It stunned me with its brilliant and marvellous sound It has the cleanest and most transparent sound I know what is good sound I have kef q polk yamaha denon jbl sony panasonic all these audio systems But this little genius beats them all in sound clarity transparent and quality Yes bose do charge premium but bose knows how to reproduce sound from tiny speaker Do not talk of treble bass or vocal It has perfect It is foolish to compare other jbl or other bluetooth speakers It is sparkling gem Those like mine who never heard Bose must hear to believe what the Bose sound technology is Do not delay just go and buy as it is on discount Highest recommended ,"little beauty,vividh bharti,marvellous sound,transparent sound,good sound,little genius,sound clarity,transparent quality,tiny speaker,treble bass,foolish compare,bose sound",information,POSITIVE
Baniya people might say that product is overpriced but you will experience the sound quality only after listening to this assbomb Afterall it s Bose don t think twice if you are into music rather than a DJ guy Buy Ahuja if you want loud election wala sound This product is amazing and sound is natural soothing and we ll balanced Totally worth of money ,"twice music,loud election,sound product,worth money",information,POSITIVE
Absolutely worthy product Excellent quality of sound Not tooo loud But exceptional quality of sound Will recommend to anyone ,"worthy product,excellent quality,exceptional quality",appreciation,POSITIVE
Sound quality to good but full sound box no clear bess,"sound quality,full sound",information,POSITIVE
Very good clear sound,clear sound,information,POSITIVE
Well satisfied The speaker the sound and the brand makes you feel Bossy Bose do make you feel Bossy The crispy vocals coupled with well balanced auto equalized bass gives you a very high satisfaction This is just what i wanted and if i have to buy again i may probably be buying another bigger speaker from this brand only If you are a very loud noisy cracking thundering and over the decibel music listener then you may opt for another option among other oversized portable speakers which you may probably have to carry over your shoulders from place to place ,"satisfied speaker,bossy bose,bossy crispy,balanced auto,equalized bass,high satisfaction,bigger speaker,portable speaker",appreciation,POSITIVE
People who love bass don t go for this Go for JBL or Sony With bass boosted songs bose doesn t do justice Each syllable whether high or low is audible but the punch and feel of the bass is missing in this bose revolve Series ,"audible punch,bose revolve",information,POSITIVE
Sound quality is top notch Built is just awesome Very light weight Easy to carry around and only con is it drains easily when i listen in volume Other than that it s fantastic Satisfied and love it Thank you Bose ,"sound quality,top notch,light weight,con drain,satisfied love",appreciation,POSITIVE
The speaker s adaptability quotient is great The sound never gets disturbing In fact as it goes louder it gets even better Smooth crisp sounds that adapt wonderfully to the room size The packaging delivery both were great ,"great sound,disturbing fact,crisp sound",appreciation,POSITIVE
Best quality product I used this product for riyaz in the morning and also while proforming on stage,"best quality,riyaz morning",appreciation,POSITIVE
Must have for a personal use and small gatherings partyOverall good package who dont care much for trebble base etc functions it is already optimized to songs u play,"small gathering,good package,trebble base",information,POSITIVE
Liked it s superior sound quality Superb and crystal clear ,sound quality,information,POSITIVE
This is absolute of a beast speaker don t go on its size There is no song you won t like on this one ,absolute beast,complaint,POSITIVE
Pretty good but somehow music audio is not as good as predecessor After having used both I d say the original revolve sounded more natural be it music movies or calls Had gone for Revolve II after the previous version died But couldn t find a better alternative than II Since start of this long lasting WFH I ve been using mostly for calls meetings Perfectly compatible with Windows and all the web bridges used including MS Teams which is the trickiest one just expect a few secs delay some times only when you receive a Teams call or join a meeting No lag otherwise Mic doesn t have noise cancellation but the other person can hear you perfectly well even if the speaker is feet away from you Plus it doesn t easily pick any background noise And needless to say speakerphone for phone calls is seamless Bluetooth connectivity is pretty quick as wellTo all seeing a different price tag it seems Bose mixed up in packaging The price tags on first lot were for Revolve the junior model which is actually for Correct price is However I raised this issue with Amazon and the team was kind to refund the balance,"good predecessor,original revolve,natural music,previous version,compatible window,mic noise,quick wellto,different price,mixed packaging,first lot,junior model,correct price",information,POSITIVE
Natural sound and clarity,natural sound,appreciation,POSITIVE
Awesome sound quality perfect blend of Base treble and overall music output Perfect output even at high volume Loving it ,"sound quality,perfect blend,overall music,perfect output,high volume",information,POSITIVE
With a perfect match of bass and treble and volume it s a bang on Amazingly superb quality ,"perfect match,treble volume,superb quality",appreciation,POSITIVE
Excellent in all forms,excellent form,appreciation,POSITIVE
Good sound quality Price is high ,sound quality,information,POSITIVE
It is slightly overpriced but I haven t heard another speaker that sounds as this one Advantages are that it s super portable with a case I bought separately it s moderately waterproof and durable Disadvantages because of its size it is not possible to fit in a bigger driver so it s the best you can get for its size if you want a speaker for an even bigger large open area often you should go for something as big as JBL boombox or partybox but then you will have to compromise on portabilityThis bose speaker is extremely portable and is the best audio for its sizeBase is not too Loud or low and has its own clarityOther frequencies are well balancedThough it is very versatile and can play all types of music it plays edm remixes the best as the sound designers make use of abilities of expensive speakers to play subtle notes ,"portable case,durable disadvantage,bigger driver,open area,audio sizebase,clarityother frequency,versatile play,best sound,expensive speaker,subtle note",information,POSITIVE
The media could not be loaded This is my first Bose speaker Arrived in two days after ordering Price is as quoted please see pic above Bluetooth connectivity is quick The sound is loud enough but not that what compares to my pmpo Sony system But what amazes me is the sound clarity notes tones bass etc very distinct Charged up to excess of percent for some update through Bose app Will update this review after more usage So far so good Made in Mexico Manufacture November Update Good Battery Life Haven t charged even once full charge Super easy connect with devices the handle is very useful music output is next level The The purpose of the app is very minimal probably while updating only Update Some misunderstanding happened between my Mr Bose SLR my two s namely Mr Apple iPhone Mr Apple iPad Removed Mr iPad from linkage Now things seem simple fine Enjoying music throughly Update A months use Works seamlessly when summoned Thumbs up Update Be sure not to place it on a glass top speaker tends to vibrate shift places May fall down Update A year of use simply loving it Blissful,"first bose,quick sound,sound clarity,excess percent,bose app,good battery,full charge,connect device,useful music,next level,top speaker",information,POSITIVE
I waited a whole year since for the Amazon day sale in October and boy it was worth the wait I got this beauty at k after the discount cashback and savings from the ICICI Amazon Pay card Its worth k as well but its good to win some times Go for it ,"whole year,good win",appreciation,POSITIVE
After investing so many days for the search of a good Speaker finally I choose Bose Soundlink revolve series As I am using it for the last days few things I would like to share Build In this price range may be it s not that much attractive but yes the build quality is really good and it s water splash resistance coating also alows you to take it outside from your room Sound The best part is at the high volume also the purity of sound remains same Bass Treble just exact where it should be Price For sound lovers price is not the matter when Bose arrived But ya they can reduce it s price by atleast k But I am ok with this price ,"many day,good speaker,soundlink revolve,last day,good water,outside room,best part,high volume,exact price,ok price",information,POSITIVE
I got this from Amazon earlier than expected Came in perfect condition But as someone else had also mentioned in the reviews the MRP on the box says Rs whereas I paid Rs for it I m satisfied with the product and love the sound but what s with the difference in pricing From my experience I usually pay lesser than the MRPs marked on the product box Amazon please explain this Aside from this the sound quality bass and power of this speaker is terrific Extremely happy with the sound You can also control the sound and bass based on where you place it in a room Corners tend to enhance the bass whereas the center of the room gives a more balanced sound ,"perfect condition,satisfied product,lesser mrps,sound quality,happy sound,balanced sound",information,POSITIVE
Sounds quality is awesome it s very loud and crystal clear sound Not much bass but its comfortable to hear any music movies videos Coming to the battery good back up and it s long lasting and day charging comparing to other bose speakers Battery is really good blindly go for it if u have budget in this range Its mind blowing,"sound quality,loud crystal,clear sound,much bass",information,POSITIVE
The quality of sound is amazing Being a music buff myself quality is extremely important to me and this product was suggested to me by an audio tech expert I was a little skeptical because of the price but took the plunge anyway I do not regret one bit because the sound is very well rounded it s such a treat to watch action movies with this one ,"amazing music,important product,audio tech,skeptical price,rounded treat",information,POSITIVE
Got it for k on the Amazon Day sale its totally worth k as well The sound quality is better than others on the market It is very portable and less than kg weight sound effect is amazing It has one of the best surround bass I have experienced on a portable speaker Its very hardcode on build quality My friend dropped it from nd Floor and just a couple of scratches works totally fine still ,"sound quality,better others,best surround,portable speaker",appreciation,POSITIVE
My first Bose buy I remember visiting a Bose Store in CP some decades ago and being mesmerised by Sound itself Best ever quality of sound next only to a Live performance ofcourse So wonderful to be able to have this incredible piece of technology Thank you to the Creator of Bose Team Amazon Seller Team who Delivered this to our doorstep ,"first bose,live performance,incredible piece",appreciation,POSITIVE
U wont expect the features you r abt to experience Brain bending sound Any type of music is heaven Its good to see off on july prime days u can save upto k but you cant get refund after purchase so wait and buy and get it for k You wont be disappointed evn if u buy for k like me ,"sound type,refund purchase",information,NEGATIVE
Nice and good looking top notch speaker,top notch,appreciation,POSITIVE
Been using them for almost months now The sound quality is excellent very loud Works very well for a party of people I love it s design and that it can be connected to devices at a time No hassle or stops during a party ,"sound quality,loud work",information,POSITIVE
Good sound quality nd blutooth contact,good sound,appreciation,POSITIVE
The media could not be loaded The sound quality is amazing It s a good investment for music lovers Helps you disconnect with the world and focus on music The battery life is around amazing too and the voice quality of calls and video calls is fantastic Have being using this for days Though it is not expensive but when it s on on sale it s a deal for sure ,"sound quality,good investment,amazing voice,fantastic using,expensive sale",appreciation,POSITIVE
Value for money purchase Bought it at lowest price during the Amazon Prime Day sale very satisfied with the sound as well as Battery performance which is long lasting upto hours ,"lowest price,prime day,well battery",information,NEGATIVE
MRP on the box was Rupees But Amazon sells it for Rupees However the Sound quality and Voice are terrific Awesome product ,"sound quality,awesome product",appreciation,POSITIVE
Sound wise these are everything you d expect a Bose speaker to be but my main purpose for buying these was to cast audio from video calls to this device However they instantly disconnect when I try to answer video calls which is very annoying You can only answer audio calls Really disappointed by this behaviour ,"bose speaker,main purpose,audio video,annoying answer,disappointed behaviour",complaint,NEGATIVE
Good quality sound suitable for in home listening ,"good quality,suitable home",appreciation,POSITIVE
Price on box is and Amazon charged us quality wise gud,wise gud,information,POSITIVE
