similar_words_and_count,count_of_similar_words,most_used_similar_word,total_similar_words,associated_words
"{'great experience': 10, 'overall experience': 3, 'great job': 9, 'wonderful experience': 5, 'excellent experience': 2, 'current experience': 1, 'marvelous job': 1, 'best experience': 3, 'extraordinary experience': 1, 'incredible job': 1, 'great service': 4, 'several experience': 1, 'positive experience': 2, 'awesome experience': 1, 'wonderful job': 2, 'great result': 1, 'excellent job': 1, 'fantastic experience': 1, 'amazing experience': 2, 'pleasant experience': 4, 'great thing': 1, 'entire experience': 1, 'helpful experience': 1, 'awesome job': 1, 'successful experience': 2, 'good experience': 4, 'fantastic job': 1, 'genuine experience': 1}",67,great experience,28,wonderful
"{'previous loan': 1, 'qualified loan': 1, 'senior loan': 2, 'best loan': 4, 'perfect loan': 1, 'total loan': 1, 'unorganized loan': 1, 'complete loan': 1, 'sure loan': 1, 'necessary loan': 1, 'interested loan': 1, 'new loan': 2, 'abreast loan': 1, 'previous lender': 1, 'current lender': 1, 'previous refinance': 1, 'informed loan': 1, 'conventional loan': 1, 'previous mortgage': 1}",24,best loan,19,unorganized
"{'quick mortgage': 1, 'future mortgage': 1, 'next mortgage': 1, 'many mortgage': 1, 'current mortgage': 1, 'complete mortgage': 1, 'amazing mortgage': 1, 'professional mortgage': 1, 'quickest mortgage': 1, 'monthly mortgage': 1, 'quickly loan': 1, 'consolidated mortgage': 1, 'right mortgage': 1, 'complicated mortgage': 1, 'first mortgage': 1, 'interested mortgage': 1}",16,quick mortgage,16,right
"{'professional job': 1, 'best job': 2, 'professional enjoy': 1, 'professional trouble': 1, 'professional demeaner': 1, 'professional style': 1, 'professional tyler': 1, 'well professionalism': 1, 'professional issue': 1, 'professional process': 1, 'professional work': 1, 'professional manner': 1, 'absolute professionalism': 1, 'professional kind': 1, 'professional refi': 1}",16,best job,15,well
"{'good work': 2, 'fantastic work': 3, 'good thing': 4, 'great work': 6, 'diligent work': 1, 'best work': 1, 'hard work': 5, 'great part': 1, 'outstanding work': 2, 'enjoyable work': 1, 'easy work': 3, 'excellent work': 2, 'pleasant work': 2, 'nice work': 1, 'wonderful work': 1}",35,great work,15,wonderful
"{'excellent service': 9, 'recommend service': 1, 'excellent customer': 5, 'satisfied service': 3, 'happy service': 2, 'friendly service': 1, 'good service': 1, 'exceptional service': 2, 'exceptional customer': 1, 'professional service': 1, 'reliable service': 1, 'best service': 1}",28,excellent service,12,satisfied
"{'whole process': 19, 'entire process': 15, 'indispensable process': 1, 'easy process': 5, 'explained process': 1, 'ongoing process': 1, 'sure process': 1, 'whole procedure': 1, 'top process': 1, 'smooth process': 2, 'seamless process': 1, 'easiest process': 1}",49,whole process,12,whole
"{'easy thank': 2, 'awesome thanks': 1, 'easy need': 1, 'right thank': 1, 'great thanks': 1, 'many thanks': 2, 'free thank': 1, 'matter thanks': 1, 'fast thank': 1, 'simple thanks': 1, 'special thanks': 1, 'amazing thank': 1}",14,easy thank,12,special
"{'awesome company': 1, 'great customer': 2, 'much company': 1, 'great company': 5, 'different company': 2, 'good company': 2, 'wonderful company': 1, 'pleased company': 1, 'fantastic company': 1, 'reputable company': 1, 'best company': 1}",18,great company,11,wonderful
"{'hard team': 1, 'great team': 4, 'sure team': 1, 'amazing team': 1, 'outstanding teamwork': 1, 'excellent team': 1, 'stressful team': 1, 'good team': 1, 'whole team': 1}",12,great team,9,whole
